sample_id,cluster_id,cluster_root,cluster_size
S1,0,N554,45
S209,0,N554,45
S213,0,N554,45
S224,0,N554,45
S234,0,N554,45
S241,0,N554,45
S247,0,N554,45
S249,0,N554,45
S252,0,N554,45
S254,0,N554,45
S26,0,N554,45
S273,0,N554,45
S31,0,N554,45
S4,0,N554,45
S49,0,N554,45
S52,0,N554,45
S55,0,N554,45
S57,0,N554,45
S61,0,N554,45
S88,0,N554,45
S203,0,N554,45
S198,0,N554,45
S240,0,N554,45
S189,0,N554,45
S105,0,N554,45
S108,0,N554,45
S111,0,N554,45
S191,0,N554,45
S118,0,N554,45
S121,0,N554,45
S127,0,N554,45
S13,0,N554,45
S131,0,N554,45
S14,0,N554,45
S112,0,N554,45
S15,0,N554,45
S150,0,N554,45
S151,0,N554,45
S167,0,N554,45
S173,0,N554,45
S175,0,N554,45
S178,0,N554,45
S183,0,N554,45
S184,0,N554,45
S141,0,N554,45
S268,1,N573,32
S275,1,N573,32
S281,1,N573,32
S46,1,N573,32
S59,1,N573,32
S63,1,N573,32
S85,1,N573,32
S78,1,N573,32
S82,1,N573,32
S84,1,N573,32
S89,1,N573,32
S95,1,N573,32
S253,1,N573,32
S64,1,N573,32
S251,1,N573,32
S36,1,N573,32
S243,1,N573,32
S125,1,N573,32
S135,1,N573,32
S138,1,N573,32
S144,1,N573,32
S147,1,N573,32
S153,1,N573,32
S177,1,N573,32
S250,1,N573,32
S22,1,N573,32
S223,1,N573,32
S231,1,N573,32
S233,1,N573,32
S236,1,N573,32
S24,1,N573,32
S180,1,N573,32
S220,2,N581,42
S229,2,N581,42
S232,2,N581,42
S244,2,N581,42
S258,2,N581,42
S260,2,N581,42
S27,2,N581,42
S274,2,N581,42
S277,2,N581,42
S45,2,N581,42
S291,2,N581,42
S3,2,N581,42
S58,2,N581,42
S8,2,N581,42
S81,2,N581,42
S218,2,N581,42
S93,2,N581,42
S96,2,N581,42
S98,2,N581,42
S284,2,N581,42
S83,2,N581,42
S212,2,N581,42
S208,2,N581,42
S101,2,N581,42
S210,2,N581,42
S114,2,N581,42
S119,2,N581,42
S145,2,N581,42
S146,2,N581,42
S161,2,N581,42
S162,2,N581,42
S163,2,N581,42
S103,2,N581,42
S171,2,N581,42
S174,2,N581,42
S185,2,N581,42
S188,2,N581,42
