sample_id,cluster_id,cluster_root,cluster_size
S100,0,N374,26
S101,0,N374,26
S109,0,N374,26
S119,0,N374,26
S128,0,N374,26
S129,0,N374,26
S147,0,N374,26
S148,0,N374,26
S156,0,N374,26
S162,0,N374,26
S168,0,N374,26
S169,0,N374,26
S170,0,N374,26
S171,0,N374,26
S172,0,N374,26
S174,0,N374,26
S187,0,N374,26
S27,0,N374,26
S54,0,N374,26
S6,0,N374,26
S68,0,N374,26
S8,0,N374,26
S81,0,N374,26
S83,0,N374,26
S87,0,N374,26
S93,0,N374,26
S107,1,N379,20
S116,1,N379,20
S123,1,N379,20
S132,1,N379,20
S179,1,N379,20
S186,1,N379,20
S2,1,N379,20
S25,1,N379,20
S37,1,N379,20
S5,1,N379,20
S51,1,N379,20
S62,1,N379,20
S74,1,N379,20
S75,1,N379,20
S86,1,N379,20
S9,1,N379,20
S90,1,N379,20
S91,1,N379,20
S94,1,N379,20
S99,1,N379,20
S106,2,N380,30
S110,2,N380,30
S130,2,N380,30
S133,2,N380,30
S135,2,N380,30
S138,2,N380,30
S139,2,N380,30
S142,2,N380,30
S143,2,N380,30
S144,2,N380,30
S153,2,N380,30
S154,2,N380,30
S16,2,N380,30
S160,2,N380,30
S177,2,N380,30
S180,2,N380,30
S194,2,N380,30
S22,2,N380,30
S23,2,N380,30
S24,2,N380,30
S36,2,N380,30
S39,2,N380,30
S46,2,N380,30
S59,2,N380,30
S63,2,N380,30
S69,2,N380,30
S82,2,N380,30
S85,2,N380,30
S95,2,N380,30
S97,2,N380,30
S1,3,N389,24
S111,3,N389,24
S112,3,N389,24
S117,3,N389,24
S118,3,N389,24
S13,3,N389,24
S134,3,N389,24
S140,3,N389,24
S141,3,N389,24
S15,3,N389,24
S150,3,N389,24
S165,3,N389,24
S175,3,N389,24
S191,3,N389,24
S192,3,N389,24
S197,3,N389,24
S31,3,N389,24
S33,3,N389,24
S34,3,N389,24
S43,3,N389,24
S44,3,N389,24
S50,3,N389,24
S53,3,N389,24
S88,3,N389,24
S0,4,N366,14
S102,4,N366,14
S122,4,N366,14
S125,4,N366,14
S149,4,N366,14
S166,4,N366,14
S18,4,N366,14
S19,4,N366,14
S195,4,N366,14
S41,4,N366,14
S60,4,N366,14
S78,4,N366,14
S84,4,N366,14
S89,4,N366,14
S10,5,N386,30
S103,5,N386,30
S114,5,N386,30
S136,5,N386,30
S145,5,N386,30
S146,5,N386,30
S161,5,N386,30
S163,5,N386,30
S17,5,N386,30
S176,5,N386,30
S185,5,N386,30
S188,5,N386,30
S193,5,N386,30
S20,5,N386,30
S28,5,N386,30
S29,5,N386,30
S3,5,N386,30
S30,5,N386,30
S32,5,N386,30
S38,5,N386,30
S42,5,N386,30
S45,5,N386,30
S47,5,N386,30
S48,5,N386,30
S58,5,N386,30
S65,5,N386,30
S72,5,N386,30
S77,5,N386,30
S96,5,N386,30
S98,5,N386,30
S113,6,N390,24
S120,6,N390,24
S126,6,N390,24
S137,6,N390,24
S152,6,N390,24
S157,6,N390,24
S159,6,N390,24
S164,6,N390,24
S181,6,N390,24
S190,6,N390,24
S196,6,N390,24
S199,6,N390,24
S21,6,N390,24
S35,6,N390,24
S4,6,N390,24
S40,6,N390,24
S56,6,N390,24
S66,6,N390,24
S67,6,N390,24
S70,6,N390,24
S73,6,N390,24
S76,6,N390,24
S79,6,N390,24
S92,6,N390,24
S104,7,N391,32
S105,7,N391,32
S108,7,N391,32
S11,7,N391,32
S115,7,N391,32
S12,7,N391,32
S121,7,N391,32
S124,7,N391,32
S127,7,N391,32
S131,7,N391,32
S14,7,N391,32
S151,7,N391,32
S155,7,N391,32
S158,7,N391,32
S167,7,N391,32
S173,7,N391,32
S178,7,N391,32
S182,7,N391,32
S183,7,N391,32
S184,7,N391,32
S189,7,N391,32
S198,7,N391,32
S26,7,N391,32
S49,7,N391,32
S52,7,N391,32
S55,7,N391,32
S57,7,N391,32
S61,7,N391,32
S64,7,N391,32
S7,7,N391,32
S71,7,N391,32
S80,7,N391,32
