sample_id,cluster_id,cluster_root,cluster_size
S1,0,N592,77
S103,0,N592,77
S105,0,N592,77
S108,0,N592,77
S111,0,N592,77
S112,0,N592,77
S118,0,N592,77
S121,0,N592,77
S125,0,N592,77
S127,0,N592,77
S13,0,N592,77
S131,0,N592,77
S135,0,N592,77
S138,0,N592,77
S14,0,N592,77
S141,0,N592,77
S144,0,N592,77
S147,0,N592,77
S15,0,N592,77
S150,0,N592,77
S151,0,N592,77
S153,0,N592,77
S167,0,N592,77
S173,0,N592,77
S175,0,N592,77
S177,0,N592,77
S178,0,N592,77
S180,0,N592,77
S183,0,N592,77
S184,0,N592,77
S189,0,N592,77
S191,0,N592,77
S198,0,N592,77
S203,0,N592,77
S209,0,N592,77
S213,0,N592,77
S22,0,N592,77
S223,0,N592,77
S224,0,N592,77
S231,0,N592,77
S233,0,N592,77
S234,0,N592,77
S236,0,N592,77
S24,0,N592,77
S240,0,N592,77
S241,0,N592,77
S243,0,N592,77
S247,0,N592,77
S249,0,N592,77
S250,0,N592,77
S251,0,N592,77
S252,0,N592,77
S253,0,N592,77
S254,0,N592,77
S26,0,N592,77
S268,0,N592,77
S273,0,N592,77
S275,0,N592,77
S281,0,N592,77
S31,0,N592,77
S36,0,N592,77
S46,0,N592,77
S49,0,N592,77
S52,0,N592,77
S55,0,N592,77
S57,0,N592,77
S59,0,N592,77
S61,0,N592,77
S63,0,N592,77
S64,0,N592,77
S78,0,N592,77
S82,0,N592,77
S84,0,N592,77
S85,0,N592,77
S88,0,N592,77
S89,0,N592,77
S95,0,N592,77
S101,1,N593,73
S113,1,N593,73
S114,1,N593,73
S119,1,N593,73
S120,1,N593,73
S132,1,N593,73
S137,1,N593,73
S145,1,N593,73
S146,1,N593,73
S161,1,N593,73
S162,1,N593,73
S163,1,N593,73
S164,1,N593,73
S169,1,N593,73
S171,1,N593,73
S174,1,N593,73
S181,1,N593,73
S185,1,N593,73
S188,1,N593,73
S196,1,N593,73
S199,1,N593,73
S2,1,N593,73
S20,1,N593,73
S200,1,N593,73
S201,1,N593,73
S204,1,N593,73
S206,1,N593,73
S207,1,N593,73
S208,1,N593,73
S21,1,N593,73
S210,1,N593,73
S212,1,N593,73
S217,1,N593,73
S218,1,N593,73
S220,1,N593,73
S222,1,N593,73
S229,1,N593,73
S230,1,N593,73
S232,1,N593,73
S235,1,N593,73
S244,1,N593,73
S25,1,N593,73
S258,1,N593,73
S259,1,N593,73
S260,1,N593,73
S265,1,N593,73
S27,1,N593,73
S271,1,N593,73
S274,1,N593,73
S277,1,N593,73
S284,1,N593,73
S291,1,N593,73
S294,1,N593,73
S296,1,N593,73
S3,1,N593,73
S37,1,N593,73
S4,1,N593,73
S45,1,N593,73
S5,1,N593,73
S51,1,N593,73
S58,1,N593,73
S66,1,N593,73
S67,1,N593,73
S73,1,N593,73
S76,1,N593,73
S8,1,N593,73
S81,1,N593,73
S83,1,N593,73
S90,1,N593,73
S93,1,N593,73
S96,1,N593,73
S98,1,N593,73
S99,1,N593,73
S0,2,N594,73
S102,2,N594,73
S104,2,N594,73
S106,2,N594,73
S11,2,N594,73
S110,2,N594,73
S115,2,N594,73
S117,2,N594,73
S12,2,N594,73
S122,2,N594,73
S124,2,N594,73
S130,2,N594,73
S133,2,N594,73
S134,2,N594,73
S139,2,N594,73
S140,2,N594,73
S142,2,N594,73
S143,2,N594,73
S149,2,N594,73
S154,2,N594,73
S155,2,N594,73
S158,2,N594,73
S16,2,N594,73
S160,2,N594,73
S165,2,N594,73
S166,2,N594,73
S18,2,N594,73
S182,2,N594,73
S19,2,N594,73
S192,2,N594,73
S194,2,N594,73
S195,2,N594,73
S197,2,N594,73
S202,2,N594,73
S215,2,N594,73
S216,2,N594,73
S219,2,N594,73
S225,2,N594,73
S226,2,N594,73
S227,2,N594,73
S228,2,N594,73
S23,2,N594,73
S239,2,N594,73
S242,2,N594,73
S245,2,N594,73
S246,2,N594,73
S248,2,N594,73
S256,2,N594,73
S261,2,N594,73
S264,2,N594,73
S269,2,N594,73
S272,2,N594,73
S280,2,N594,73
S282,2,N594,73
S286,2,N594,73
S288,2,N594,73
S293,2,N594,73
S297,2,N594,73
S33,2,N594,73
S34,2,N594,73
S39,2,N594,73
S41,2,N594,73
S43,2,N594,73
S44,2,N594,73
S50,2,N594,73
S53,2,N594,73
S60,2,N594,73
S62,2,N594,73
S69,2,N594,73
S7,2,N594,73
S71,2,N594,73
S80,2,N594,73
S97,2,N594,73
S10,3,N595,77
S100,3,N595,77
S107,3,N595,77
S109,3,N595,77
S116,3,N595,77
S123,3,N595,77
S126,3,N595,77
S128,3,N595,77
S129,3,N595,77
S136,3,N595,77
S148,3,N595,77
S152,3,N595,77
S156,3,N595,77
S157,3,N595,77
S159,3,N595,77
S168,3,N595,77
S17,3,N595,77
S170,3,N595,77
S172,3,N595,77
S176,3,N595,77
S179,3,N595,77
S186,3,N595,77
S187,3,N595,77
S190,3,N595,77
S193,3,N595,77
S205,3,N595,77
S211,3,N595,77
S214,3,N595,77
S221,3,N595,77
S237,3,N595,77
S238,3,N595,77
S255,3,N595,77
S257,3,N595,77
S262,3,N595,77
S263,3,N595,77
S266,3,N595,77
S267,3,N595,77
S270,3,N595,77
S276,3,N595,77
S278,3,N595,77
S279,3,N595,77
S28,3,N595,77
S283,3,N595,77
S285,3,N595,77
S287,3,N595,77
S289,3,N595,77
S29,3,N595,77
S290,3,N595,77
S292,3,N595,77
S295,3,N595,77
S298,3,N595,77
S299,3,N595,77
S30,3,N595,77
S32,3,N595,77
S35,3,N595,77
S38,3,N595,77
S40,3,N595,77
S42,3,N595,77
S47,3,N595,77
S48,3,N595,77
S54,3,N595,77
S56,3,N595,77
S6,3,N595,77
S65,3,N595,77
S68,3,N595,77
S70,3,N595,77
S72,3,N595,77
S74,3,N595,77
S75,3,N595,77
S77,3,N595,77
S79,3,N595,77
S86,3,N595,77
S87,3,N595,77
S9,3,N595,77
S91,3,N595,77
S92,3,N595,77
S94,3,N595,77
