schema_version,policy_id,literature_family,implementation_status,case_id,test_case,tree_inference,run_id,node_id,depth,p_value_column,p_value,local_alpha,edge_gate_open,min_child_edge_bh_p_value,min_diagnostic_p_value,child_fraction,rejected,pass_through,blocked_reason
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N158,0.0,sibling_p_value_corrected,0.3268286082538727,0.01,True,8.828289184319983e-16,0.01075170684615,0.0125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N158,0.0,sibling_p_value_corrected,,0.01,False,0.0077012999969118,0.2998223258209914,0.0125,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N158,0.0,sibling_p_value_corrected,0.3268286082538727,0.01,True,8.828289184319983e-16,0.01075170684615,0.0125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,N158,0.0,sibling_p_value_corrected,,0.01,False,0.0077012999969118,0.2998223258209914,0.0125,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,N158,0.0,sibling_p_value_corrected,0.3268286082538727,0.01,True,8.828289184319983e-16,0.01075170684615,0.0125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,N158,0.0,sibling_p_value_corrected,0.3268286082538727,0.01,True,8.828289184319983e-16,0.01075170684615,0.0125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,N158,0.0,sibling_p_value_corrected,0.3268286082538727,0.01,True,8.828289184319983e-16,0.01075170684615,0.0125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,mad_root,0.0,sibling_p_value_corrected,0.770515275140873,0.01,True,2.758306977879272e-06,3.2281699991344183e-19,0.045,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N1198,0.0,sibling_p_value_corrected,,0.01,False,0.2932472932644518,1.6311784168755596e-13,0.0016666666666666668,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N1198,0.0,sibling_p_value_corrected,,0.01,False,0.1480154759188665,6.182258899612439e-08,0.0016666666666666668,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N1198,0.0,sibling_p_value_corrected,0.7205966474050087,0.01,True,1.2293284760512936e-08,5.045233564999752e-10,0.008333333333333333,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,N1198,0.0,sibling_p_value_corrected,0.7214019249469923,0.01,True,7.873914430206858e-05,1.9379777036812466e-07,0.006666666666666667,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,N1198,0.0,sibling_p_value_corrected,,0.01,False,0.4136872109231756,0.3645519450745596,0.0016666666666666668,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,N1198,0.0,sibling_p_value_corrected,0.6057506751557509,0.01,True,1.221601024801763e-13,1.0288232908318928e-25,0.19333333333333333,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,N1198,0.0,sibling_p_value_corrected,,0.01,False,0.3565579642427341,4.676163506944327e-15,0.0016666666666666668,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,mad_root,0.0,sibling_p_value_corrected,0.937936835042918,0.01,True,1.2470126574767586e-15,1.251663159682672e-13,0.02875,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N1598,0.0,sibling_p_value_corrected,0.9906578110099804,0.01,True,7.288940843103321e-08,2.564620304265152e-12,0.0075,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N1598,0.0,sibling_p_value_corrected,,0.01,False,0.001763772358915,0.4298198954857092,0.00125,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N1598,0.0,sibling_p_value_corrected,0.9401850286500142,0.01,True,1.090544719699791e-37,9.227885226571737e-16,0.04875,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,N1598,0.0,sibling_p_value_corrected,,0.01,False,0.2340943232551815,0.4277472844235679,0.00125,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,N1598,0.0,sibling_p_value_corrected,0.3421088071951228,0.01,True,1.8199697462554297e-06,0.4253599369134748,0.00125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,N1598,0.0,sibling_p_value_corrected,0.8766883496344858,0.01,True,1.0862919374253536e-26,1.2040200900063786e-13,0.01125,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,mad_root,0.0,sibling_p_value_corrected,,0.01,False,0.0013008773961459,2.7886797820496884e-10,0.008333333333333333,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N238,0.0,sibling_p_value_corrected,0.0194165156685082,0.01,True,7.982584065014504e-09,1.9084317240384207e-12,0.016666666666666666,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N238,0.0,sibling_p_value_corrected,0.0146535473741283,0.01,True,7.239837197097739e-09,1.9084317240384207e-12,0.016666666666666666,False,False,p_value_above_local_alpha
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N238,0.0,sibling_p_value_corrected,,0.01,False,0.0573888857824183,2.2545569510036964e-09,0.008333333333333333,False,False,edge_gate_closed
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,N238,0.0,sibling_p_value_corrected,,0.01,False,0.0518139107549334,2.2545569510036964e-09,0.008333333333333333,False,False,edge_gate_closed
