schema_version,policy_id,display_name,law_status,case_id,test_case,tree_inference,run_id,node_id,depth,p_value,local_alpha,evidence_multiplier,topology_stability_spend,min_child_edge_bh_p_value,min_diagnostic_p_value,left_branch_length,right_branch_length,child_fraction,edge_gate_open,rejected,blocked_reason
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N238,0.0,,0.01,12.0,0.11990989796955373,0.0890861367531065,3.609583670388639e-14,0.0687207229861795,0.0687207229861795,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N238,0.0,0.1008311860070012,0.01,24.0,0.11990989796955373,3.3798309735340515e-08,4.193504315285311e-09,0.0032693849377448,0.0032693849377448,0.1,True,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,N238,0.0,,0.009592791837564299,8.0,0.11990989796955373,0.3273736253926123,1.9711971849070168e-10,0.002007564289408,0.002007564289408,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,N238,0.0,,0.01,12.0,0.11990989796955373,0.0810779597057092,3.609583670388639e-14,0.0514362492485962,0.0514362492485962,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N238,0.0,,0.01,12.0,0.11990989796955373,0.0877149188449795,3.609583670388639e-14,0.0662323605052647,0.0662323605052647,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,N238,0.0,,0.0047963959187821495,4.0,0.11990989796955373,0.8855633585514655,8.320829560912863e-05,0.0556686091850173,0.0556686091850173,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,N238,0.0,0.0491341561260816,0.01,24.0,0.11990989796955373,1.2104189347265943e-10,4.033086777929206e-10,0.0071797400253151,0.0071797400253151,0.16666666666666666,True,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_moderate,60,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,mad_root,0.0,0.1080786312221733,0.01,36.0,0.11990989796955373,2.651590086281142e-09,2.5708332752812804e-20,0.0112805046140199,0.0112805046140199,0.10833333333333334,True,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,N238,0.0,0.0194165156685082,0.01,24.0,0.11168414828549617,7.982584065014504e-09,1.9084317240384207e-12,0.3293190866343213,0.3293190866343213,0.016666666666666666,True,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,N238,0.0,,0.008934731862839693,8.0,0.11168414828549617,0.0573888857824183,2.2545569510036964e-09,0.0694591609745182,0.0694591609745182,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_hard,61,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,N238,0.0,,0.008934731862839693,8.0,0.11168414828549617,0.0525923999246151,2.2545569510036964e-09,0.0531932182389785,0.0531932182389785,0.008333333333333333,False,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,N238,0.0,0.0125726905933696,0.01,24.0,0.11168414828549617,4.846458589075412e-09,1.9084317240384207e-12,0.3147546196095035,0.3147546196095035,0.016666666666666666,True,False,missing_exact_selected_node_conditional_p_value
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,N238,0.0,0.0146535473741283,0.01,24.0,0.11168414828549617,7.239837197097739e-09,1.9084317240384207e-12,0.3306748499682309,0.3306748499682309,0.016666666666666666,True,False,missing_exact_selected_node_conditional_p_value
